"on_for","today_on_time","totalmw","today_kwh","-","today_standby_time","name","current_power","device","total_mw"
"25676","68132","649220238","1.6401446828029","-","68132","2015-06-11 20:35:01","96110","refrigerator",""
"9055","78423","664566384","1.8959137879183","-","78423","2015-06-11 23:58:01","96635","refrigerator",""
"2487","71852","","1.7247098511609","-","71852","2015-06-09 21:32:01","97210","",""
"2631","47304","732903925","1.1380364727607","-","47304","2015-06-12 14:11:01","95710","refrigerator",""
"24029","66483","","1.5923922818478","-","66483","2015-06-09 19:31:01","94670","",""
"26452","44204","728202070","1.0596722211934","-","44204","2015-06-12 12:48:01","93725","refrigerator",""
"13889","56343","","1.3507641436819","-","56343","2015-06-09 16:42:01","94700","",""
"16048","58502","","1.4028243113898","-","58502","2015-06-09 17:18:01","95000","",""
"21268","9903","","0.23712415474248","-","9903","2015-06-10 02:45:01","95385","",""
"7949","50403","","1.2105811408783","-","50403","2015-06-09 15:03:01","93955","",""
"22233","37776","","0.90604103478749","-","37776","2015-06-11 11:01:01","93410","refrigerator",""
"26913","42456","","1.0177244370212","-","42456","2015-06-11 13:27:02","205","refrigerator",""
"22015","78796","","1.9112332882247","-","78796","2015-06-05 17:28:01","95330","",""
"7915","77283","662924974","1.8685569540378","-","77283","2015-06-11 23:39:02","97175","refrigerator",""
"26213","17056","805391402","0.40917154151676","-","17056","2015-06-13 04:44:04","95930","refrigerator",""
"25735","16570","688554952","0.39888690797774","-","16570","2015-06-12 04:36:01","96125","refrigerator",""
"9568","52022","","1.2483473249669","-","52022","2015-06-09 15:30:01","94100","",""
"18693","34235","","0.82186271643725","-","34235","2015-06-10 10:02:01","94500","",""
"7310","78892","778392325","1.8961764879235","-","78892","2015-06-12 23:29:02","95310","refrigerator",""
"9147","78512","","1.8864988210633","-","78512","2015-06-09 23:23:01","95895","",""
"15688","4323","","0.1034884854031","-","4323","2015-06-10 01:12:01","95120","",""
"25312","43064","726606381","1.0330774039949","-","43064","2015-06-12 12:29:01","94345","refrigerator",""
"26910","17753","806414030","0.42621534185764","-","17753","2015-06-13 05:17:01","200","refrigerator",""
"6623","10121","","0.26500897196685","-","10121","2015-06-08 14:41:01","99265","",""
"16191","33943","713746861","0.81875206637504","-","33943","2015-06-12 09:57:01","93845","refrigerator",""
"17211","8054","792375498","0.1922398038448","-","8054","2015-06-13 02:14:01","96170","refrigerator",""
"22654","38196","","0.91639111832782","-","38196","2015-06-10 11:08:02","94870","",""
"26907","15542","","0.3722365241114","-","15542","2015-06-10 04:19:01","1600","",""
"335","335","1013175898","0.010638700212774","-","335","2015-06-15 13:53:02","107445","refrigerator",""
"15400","30943","","0.74341853153504","-","30943","2015-06-11 09:07:08","94720","",""
"23791","12423","","0.29752458928382","-","12426","2015-06-10 03:27:04","94980","",""
"16432","61105","752491194","1.4644909626232","-","61105","2015-06-12 18:01:02","95370","refrigerator",""
"21055","11890","681827266","0.28675880573518","-","11890","2015-06-12 03:18:01","96330","refrigerator",""
"15291","59964","750888709","1.4377828787557","-","59964","2015-06-12 17:42:01","94485","refrigerator",""
"26912","69368","651099614","1.6714676167627","-","69368","2015-06-11 21:05:02","240","refrigerator",""
"20391","38144","835727221","0.91476853496204","-","38144","2015-06-13 11:07:02","94180","refrigerator",""
"20151","37904","835347235","0.90843543483537","-","37904","2015-06-13 11:03:02","94905","refrigerator",""
"1411","43864","","1.0557163544477","-","43864","2015-06-10 13:14:02","98290","",""
"2876","45332","","1.0938010552094","-","45332","2015-06-11 14:15:02","97510","refrigerator",""
"11968","603","","0.014327316953213","-","603","2015-06-10 00:10:02","95530","",""
"15595","58051","634812070","1.4000085446668","-","58051","2015-06-11 17:47:01","95560","refrigerator",""
"16132","60805","752113624","1.458198129164","-","60805","2015-06-12 17:56:01","94415","refrigerator",""
"20069","62523","","1.4976590632865","-","62523","2015-06-09 18:25:01","95425","",""
"2090","19843","809639505","0.47997325959946","-","19843","2015-06-13 06:02:02","97825","refrigerator",""
"6444","9941","","0.26003913853412","-","9942","2015-06-08 14:38:01","99665","",""
"9350","193","781127055","0.004765750095315","-","193","2015-06-13 00:03:01","95735","refrigerator",""
"17152","34904","715058907","0.84061950014572","-","34904","2015-06-12 10:13:01","94345","refrigerator",""
"7195","49651","","1.1979383239588","-","49651","2015-06-11 15:27:01","94870","refrigerator",""
"8","44673","728941625","1.0719981381066","-","44673","2015-06-12 13:16:01","200","refrigerator",""
"24296","66752","647307516","1.6082659821653","-","66752","2015-06-11 20:12:02","95625","refrigerator",""
"25496","16331","688266989","0.39408752454842","-","16331","2015-06-12 04:32:02","95515","refrigerator",""
"8270","26023","818540780","0.62832784589989","-","26023","2015-06-13 07:45:02","94340","refrigerator",""
"26917","17752","690359087","0.42895582524578","-","17752","2015-06-12 05:26:01","205","refrigerator",""
"26909","71582","767510918","1.7148197009631","-","71582","2015-06-12 21:09:01","190","refrigerator",""
"23934","80715","","1.957349039147","-","80715","2015-06-05 18:00:01","95220","",""
"24593","42344","725573817","1.0158680036507","-","42345","2015-06-12 12:17:01","93665","refrigerator",""
"24114","14949","686252690","0.36051587387698","-","14949","2015-06-12 04:09:01","96500","refrigerator",""
"1549","73131","769956139","1.7555733851115","-","73131","2015-06-12 21:53:01","99210","refrigerator",""
"2035","44491","","1.0724318714486","-","44491","2015-06-11 14:01:02","99405","refrigerator",""
"169","17922","806699138","0.43096714195268","-","17922","2015-06-13 05:30:02","119875","refrigerator",""
"16732","61404","752966353","1.4724102794482","-","61405","2015-06-12 18:06:02","95520","refrigerator",""
"10195","1030","666059842","0.023968400479368","-","1031","2015-06-12 00:17:02","95735","refrigerator",""
"26254","41797","","1.0015724533648","-","41797","2015-06-11 12:08:02","94640","refrigerator",""
"22676","65132","644921669","1.5685018647034","-","65132","2015-06-11 19:45:01","96320","refrigerator",""
"14392","32144","711212343","0.77651009886353","-","32144","2015-06-12 09:27:01","93330","refrigerator",""
"16103","19601","","0.50724091014482","-","19601","2015-06-08 17:19:01","96260","",""
"26917","17752","690353668","0.42886550857731","-","17752","2015-06-12 04:56:01","190","refrigerator",""
"1011","45684","730576297","1.0992426719849","-","45684","2015-06-12 13:44:02","97940","refrigerator",""
"21595","78376","","1.9017198213677","-","78376","2015-06-05 17:21:01","95420","",""
"5033","22786","813981160","0.55233417771335","-","22786","2015-06-13 06:51:04","96310","refrigerator",""
"10855","1690","667018384","0.039944100798882","-","1690","2015-06-12 00:28:02","96150","refrigerator",""
"8","3498","","0.092565968517986","-","3498","2015-06-08 12:31:00","195","",""
"18870","61324","","1.46916669605","-","61324","2015-06-09 18:05:02","95320","",""
"3052","20804","695047302","0.50709274347519","-","20804","2015-06-12 06:18:02","97080","refrigerator",""
"20632","38384","720037380","0.92359405180521","-","38384","2015-06-12 11:11:01","94015","refrigerator",""
"9289","27042","820050664","0.65349257973652","-","27042","2015-06-13 08:02:01","93250","refrigerator",""
"25850","16693","804816526","0.39959027465847","-","16693","2015-06-13 04:38:01","96045","refrigerator",""
"14091","58764","749195042","1.4095550948578","-","58764","2015-06-12 17:22:01","94045","refrigerator",""
"10315","52771","","1.2725597254512","-","52771","2015-06-11 16:19:01","95955","refrigerator",""
"5034","74402","658764906","1.7992224859844","-","74402","2015-06-11 22:51:02","97425","refrigerator",""
"13131","57804","747878958","1.3876203610857","-","57804","2015-06-12 17:06:01","93695","refrigerator",""
"23848","12483","","0.29910170598203","-","12483","2015-06-10 03:28:01","95905","",""
"15265","18763","","0.4879315764253","-","18763","2015-06-08 17:05:03","96840","",""
"23995","14830","686061442","0.35732840714657","-","14830","2015-06-12 04:07:02","95470","refrigerator",""
"17632","62305","754292723","1.494516446557","-","62305","2015-06-12 18:21:02","95025","refrigerator",""
"4707","74072","","1.7795044855901","-","74072","2015-06-09 22:09:01","96555","",""
"8","44673","728938289","1.0719425381055","-","44673","2015-06-12 12:57:02","190","refrigerator",""
"26812","71485","767344593","1.7120476175743","-","71486","2015-06-12 20:54:02","94775","refrigerator",""
"23092","67765","762045696","1.623732665808","-","67765","2015-06-12 19:52:01","94780","refrigerator",""
"26812","17655","806254486","0.42355627513779","-","17655","2015-06-13 04:54:02","95575","refrigerator",""
"20815","11650","681442623","0.2803480889403","-","11650","2015-06-12 03:14:01","96660","refrigerator",""
"24933","40475","","0.97165921943318","-","40475","2015-06-10 11:46:01","95420","",""
"13234","28776","","0.69307479719483","-","28776","2015-06-10 08:31:02","94140","",""
"13169","28711","","0.69149916382998","-","28711","2015-06-10 08:30:01","94505","",""
"10975","1810","667209934","0.043136600862732","-","1810","2015-06-12 00:30:01","95475","refrigerator",""
"17091","61764","753441073","1.4803222796064","-","61764","2015-06-12 18:12:01","94595","refrigerator",""
"12350","3193","785411689","0.076176318190193","-","3193","2015-06-13 00:53:01","95340","refrigerator",""
"12082","15580","","0.40948069152295","-","15580","2015-06-08 16:12:01","100320","",""
"24715","15550","687116524","0.37491310749826","-","15550","2015-06-12 04:19:01","95685","refrigerator",""
"11913","27455","","0.66177596323552","-","27455","2015-06-10 08:09:01","93670","",""
"15774","6609","674125779","0.15840068650135","-","6609","2015-06-12 01:50:01","96450","refrigerator",""
"20574","65245","758466666","1.564082164615","-","65247","2015-06-12 19:10:04","93985","refrigerator",""
"4016","46472","","1.1214078557615","-","46472","2015-06-11 14:34:02","96710","refrigerator",""
"26907","15542","","0.37349915746998","-","15542","2015-06-10 04:32:01","190","",""
"24891","15734","803473911","0.37721335754427","-","15734","2015-06-13 04:22:02","95915","refrigerator",""
"8334","77702","663505321","1.8782294042313","-","77702","2015-06-11 23:46:01","96880","refrigerator",""
"8","44673","728941826","1.0720014881067","-","44673","2015-06-12 13:17:01","215","refrigerator",""
"3090","45543","","1.0962182552577","-","45543","2015-06-10 13:42:01","96185","",""
"12333","27875","","0.67274633012159","-","27875","2015-06-10 08:16:02","94650","",""
"21995","37538","","0.90133476802669","-","37538","2015-06-11 10:57:03","94075","refrigerator",""
"22050","64504","","1.5449665308993","-","64504","2015-06-09 18:58:02","94515","",""
"8","44673","728942030","1.0720048881068","-","44673","2015-06-12 13:18:01","220","refrigerator",""
"16654","32196","","0.77470704882747","-","32196","2015-06-10 09:28:02","94400","",""
"5991","77573","776472704","1.8641828039503","-","77573","2015-06-12 23:07:02","96690","refrigerator",""
"24710","15553","803187280","0.37243617411539","-","15554","2015-06-13 04:19:01","96040","refrigerator",""
"24394","39936","","0.95742620248186","-","39936","2015-06-10 11:37:02","94650","",""
"26911","69365","","1.6616658165666","-","69365","2015-06-09 20:37:01","200","",""
"8548","51002","","1.2247543578284","-","51002","2015-06-09 15:13:01","94600","",""
"1495","43951","","1.0590991878486","-","43951","2015-06-11 13:52:01","100760","refrigerator",""
"21754","37296","","0.89587928458425","-","37296","2015-06-10 10:53:01","94930","",""
"22610","40363","838849124","0.96680025266934","-","40363","2015-06-13 11:44:02","95265","refrigerator",""
"109","71691","767637984","1.7169374676721","-","71691","2015-06-12 21:29:01","128605","refrigerator",""
"6469","24222","815981377","0.58567112838009","-","24222","2015-06-13 07:15:01","95330","refrigerator",""
"21656","64112","643484952","1.5445565808911","-","64112","2015-06-11 19:28:02","96180","refrigerator",""
"13288","1923","","0.046196467590596","-","1923","2015-06-10 00:32:01","95275","",""
"14151","58824","749289100","1.4111227282225","-","58824","2015-06-12 17:23:02","93100","refrigerator",""
"5013","20555","","0.49781780995636","-","20555","2015-06-10 06:14:02","96165","",""
"2547","6045","","0.16113753655608","-","6045","2015-06-08 13:33:04","102195","",""
"4673","74041","658181829","1.7895045357901","-","74041","2015-06-11 22:45:03","97810","refrigerator",""
"23128","11763","","0.28163408896601","-","11763","2015-06-10 03:16:01","95465","",""
"9809","52263","","1.2546499917597","-","52263","2015-06-09 15:34:01","95145","",""
"8368","77733","","1.8673972873479","-","77733","2015-06-09 23:10:02","95795","",""
"15629","58083","","1.391798777836","-","58083","2015-06-09 17:11:01","94175","",""
"23095","13930","684813151","0.33652355673047","-","13930","2015-06-12 03:52:01","96675","refrigerator",""
"9050","26803","819673998","0.6472148129443","-","26803","2015-06-13 07:58:02","94390","refrigerator",""
"8272","52945","740940527","1.2719798421063","-","52945","2015-06-12 15:45:02","93545","refrigerator",""
"26815","17650","690186145","0.42607345852147","-","17650","2015-06-12 04:54:02","95660","refrigerator",""
"17429","59883","","1.4343802953543","-","59883","2015-06-09 17:41:01","94890","",""
"10070","913","782078903","0.020629883745931","-","915","2015-06-13 00:15:03","94905","refrigerator",""
"16251","7094","791038558","0.16995747006582","-","7094","2015-06-13 01:58:01","95405","refrigerator",""
"2364","5861","","0.15603326978733","-","5862","2015-06-08 13:30:01","102375","",""
"26756","17591","690090054","0.42447194182277","-","17591","2015-06-12 04:53:02","95800","refrigerator",""
"12170","29923","824091670","0.72084268108352","-","29923","2015-06-13 08:50:02","93915","refrigerator",""
"8812","26564","703333744","0.645200112904","-","26564","2015-06-12 07:54:01","94180","refrigerator",""
"8","44673","728939464","1.0719621214392","-","44673","2015-06-12 13:04:01","175","refrigerator",""
"3234","72602","656035401","1.7537307350746","-","72602","2015-06-11 22:21:01","97915","refrigerator",""
"20391","65064","758184591","1.559380914521","-","65066","2015-06-12 19:07:02","93815","refrigerator",""
"26335","17170","689513734","0.41486660829733","-","17170","2015-06-12 04:46:02","95710","refrigerator",""
"13252","57925","748066741","1.390750077815","-","57925","2015-06-12 17:08:03","94295","refrigerator",""
"12377","54830","","1.3181896096971","-","54830","2015-06-10 16:16:47","94630","",""
"4911","49584","736225273","1.1933922738678","-","49584","2015-06-12 14:49:01","95220","refrigerator",""
"23751","14594","801846454","0.35008907366845","-","14594","2015-06-13 04:03:01","95885","refrigerator",""
"18753","34295","","0.82343419980202","-","34295","2015-06-10 10:03:01","94105","",""
"25474","41016","","0.98431433635295","-","41016","2015-06-10 11:55:01","94695","",""
"22794","79575","","1.9302852886057","-","79575","2015-06-05 17:41:00","95315","",""
"5392","23144","698407261","0.56309206126184","-","23144","2015-06-12 06:57:01","94585","refrigerator",""
"19168","61622","","1.4770908128751","-","61622","2015-06-09 18:10:01","94890","",""
"6924","10422","","0.27163125543263","-","10422","2015-06-08 14:46:01","99510","",""
"21475","12310","682405380","0.29639403926121","-","12310","2015-06-12 03:25:01","96105","refrigerator",""
"23575","80356","","1.9493620723206","-","80356","2015-06-05 17:54:01","95550","",""
"15170","32923","828308524","0.79112358248914","-","32923","2015-06-13 09:40:01","93050","refrigerator",""
"10855","53311","","1.2853039090394","-","53311","2015-06-11 16:28:02","95560","refrigerator",""
"6710","24463","816361774","0.59201107850689","-","24463","2015-06-13 07:19:02","94180","refrigerator",""
"20996","11829","681731176","0.28515730570315","-","11831","2015-06-12 03:17:02","96230","refrigerator",""
"9955","790","665772712","0.019182900383658","-","790","2015-06-12 00:13:02","95865","refrigerator",""
"26913","42456","","1.0176912370205","-","42456","2015-06-11 12:39:02","215","refrigerator",""
"6027","75392","","1.8115445028976","-","75392","2015-06-09 22:31:01","95600","",""
"24532","42284","725480116","1.0143063202861","-","42284","2015-06-12 12:16:01","93735","refrigerator",""
"1970","46643","731943233","1.1220249391072","-","46643","2015-06-12 14:00:01","96615","refrigerator",""
"23331","14174","801176848","0.33892897344525","-","14174","2015-06-13 03:56:02","95730","refrigerator",""
"12149","54603","","1.3096875095271","-","54603","2015-06-09 16:13:01","94365","",""
"26151","16994","805295383","0.40757122481809","-","16994","2015-06-13 04:43:01","96520","refrigerator",""
"9692","25234","","0.61003607886739","-","25234","2015-06-10 07:32:01","94555","",""
"2007","71372","","1.7133290175999","-","71372","2015-06-09 21:24:01","97170","",""
"21955","78736","","1.9112332882247","-","78736","2015-06-05 17:27:01","94250","",""
"15592","33344","712903616","0.80469798276063","-","33344","2015-06-12 09:47:02","94185","refrigerator",""
"26913","42456","","1.0176674703533","-","42456","2015-06-11 12:32:01","200","refrigerator",""
"9933","25475","","0.6147469289616","-","25475","2015-06-10 07:36:01","94725","",""
"14248","2883","","0.070082601401652","-","2883","2015-06-10 00:48:02","95705","",""
"8373","23915","","0.57870471157409","-","23915","2015-06-10 07:10:01","93470","",""
"20875","63331","642337461","1.5254317305086","-","63331","2015-06-11 19:15:01","95530","refrigerator",""
"26909","71582","767509702","1.714799434296","-","71582","2015-06-12 21:02:01","195","refrigerator",""
"21715","12550","682790959","0.30282035605641","-","12550","2015-06-12 03:29:01","96870","refrigerator",""
"16675","7510","675472008","0.18083783695009","-","7510","2015-06-12 02:05:02","95970","refrigerator",""
"23036","13871","684716784","0.33491744003168","-","13871","2015-06-12 03:51:02","96280","refrigerator",""
"20969","63423","","1.5197545637284","-","63423","2015-06-09 18:40:01","94860","",""
"14935","57391","633854091","1.3840422276808","-","57391","2015-06-11 17:36:04","96000","refrigerator",""
"18351","36104","832786862","0.86576255064858","-","36104","2015-06-13 10:33:02","94380","refrigerator",""
"5371","47824","","1.1520199730404","-","47824","2015-06-10 14:20:02","94755","",""
"18717","61173","639290208","1.4746441794929","-","61173","2015-06-11 18:39:02","94630","refrigerator",""
"14789","57242","","1.3728619607906","-","57243","2015-06-09 16:57:02","95120","",""
"14729","57183","","1.3712827940923","-","57183","2015-06-09 16:56:01","94655","",""
"1591","44044","","1.0606318212126","-","44044","2015-06-10 13:17:02","97985","",""
"11728","54182","","1.3002366093381","-","54182","2015-06-09 16:06:01","94225","",""
"1431","19183","692592348","0.46617684265687","-","19183","2015-06-12 05:51:01","98990","refrigerator",""
"11451","2294","784077892","0.053946367745594","-","2294","2015-06-13 00:38:02","95560","refrigerator",""
"26392","17235","805583436","0.41237210824744","-","17235","2015-06-13 04:47:01","95640","refrigerator",""
"20033","37784","719191658","0.90949868485664","-","37785","2015-06-12 11:01:03","93755","refrigerator",""
"7952","50405","","1.2139109076116","-","50405","2015-06-10 15:03:03","95150","",""
"9953","27705","704936726","0.671916480105","-","27705","2015-06-12 08:13:02","94060","refrigerator",""
"17451","62124","754008551","1.4897802464623","-","62124","2015-06-12 18:18:01","95040","refrigerator",""
"22413","37956","","0.91070816821416","-","37957","2015-06-11 11:04:02","93210","refrigerator",""
"2551","45004","","1.0833408716668","-","45004","2015-06-10 13:33:02","97150","",""
"22674","13509","684138623","0.32528142317229","-","13509","2015-06-12 03:45:01","96255","refrigerator",""
"15890","33643","829335080","0.80823284949799","-","33643","2015-06-13 09:52:01","93175","refrigerator",""
"26910","17753","806411456","0.42617244185678","-","17753","2015-06-13 05:02:02","195","refrigerator",""
"20456","62912","641765013","1.5158909303178","-","62912","2015-06-11 19:08:02","95060","refrigerator",""
"2695","72063","655250537","1.7406496681463","-","72063","2015-06-11 22:12:02","98185","refrigerator",""
"4731","49404","735938432","1.1886115904389","-","49404","2015-06-12 14:46:01","93820","refrigerator",""
"19311","10154","795438266","0.24328593819905","-","10154","2015-06-13 02:49:02","96655","refrigerator",""
"1852","19604","693281353","0.4776602595532","-","19604","2015-06-12 05:58:02","98990","refrigerator",""
"26734","42276","","1.0143614036206","-","42276","2015-06-10 12:16:02","94970","",""
"16793","34545","714590523","0.83281309998959","-","34545","2015-06-12 10:07:02","93975","refrigerator",""
"21356","63812","643005982","1.5365737473981","-","63812","2015-06-11 19:23:01","95645","refrigerator",""
"13792","58465","748818457","1.4032786780656","-","58465","2015-06-12 17:17:02","93640","refrigerator",""
"9950","793","781983726","0.019043600380872","-","793","2015-06-13 00:13:01","95105","refrigerator",""
"18893","36645","717501818","0.88133468429336","-","36645","2015-06-12 10:42:02","93735","refrigerator",""
"8432","23974","","0.58026909493871","-","23974","2015-06-10 07:11:01","93630","",""
"6531","78113","777241649","1.8769985542066","-","78113","2015-06-12 23:16:02","95945","refrigerator",""
"10348","79713","","1.9151650883033","-","79713","2015-06-09 23:43:01","95695","",""
"13549","31302","826061534","0.75367374840681","-","31302","2015-06-13 09:13:01","93730","refrigerator",""
"13587","2222","","0.054163717749941","-","2222","2015-06-10 00:37:01","95655","",""
"22555","13390","684042310","0.32367620647352","-","13390","2015-06-12 03:43:02","96535","refrigerator",""
"9831","54504","743190081","1.3094724095228","-","54504","2015-06-12 16:11:01","93860","refrigerator",""
"12591","57264","747129671","1.3751322441693","-","57264","2015-06-12 16:57:01","93595","refrigerator",""
"26911","69365","","1.6616260165659","-","69365","2015-06-09 20:24:01","190","",""
"16012","33764","713465381","0.81406073294788","-","33764","2015-06-12 09:54:02","93795","refrigerator",""
"12809","55263","","1.325484359843","-","55263","2015-06-09 16:24:01","95210","",""
"18415","9250","677972760","0.22251703778367","-","9250","2015-06-12 02:34:02","96670","refrigerator",""
"4290","46743","","1.1250302058339","-","46743","2015-06-10 14:02:01","95465","",""
"16053","31595","","0.76053439854402","-","31595","2015-06-10 09:18:01","93815","",""
"24569","67023","","1.6050289487672","-","67023","2015-06-09 19:40:01","94400","",""
"20455","11290","680960446","0.27231180544624","-","11290","2015-06-12 03:08:01","95965","refrigerator",""
"9","9","-592","0","-","9","2015-06-15 13:41:02","136630","refrigerator",""
"15267","3902","","0.09394450187889","-","3902","2015-06-10 01:05:01","96165","",""
"7971","52644","740565124","1.2657231253145","-","52644","2015-06-12 15:40:02","93960","refrigerator",""
"23211","67884","762234963","1.6268871158711","-","67884","2015-06-12 19:54:01","94720","refrigerator",""
"23374","38916","","0.93375828534183","-","38916","2015-06-10 11:20:01","94930","",""
"3750","46203","","1.112267188912","-","46203","2015-06-10 13:53:01","95735","",""
"20728","9363","","0.22438637115439","-","9363","2015-06-10 02:36:01","95700","",""
"18809","61263","","1.4675831960183","-","61263","2015-06-09 18:04:01","94145","",""
"14335","59008","749570434","1.4158116283162","-","59008","2015-06-12 17:26:05","93810","refrigerator",""
"6470","78052","777145796","1.8754010041747","-","78052","2015-06-12 23:15:01","95685","refrigerator",""
"6109","23862","815504731","0.57772702822121","-","23862","2015-06-13 07:09:01","95220","refrigerator",""
"6589","24342","816172162","0.58885087844368","-","24342","2015-06-13 07:17:01","94690","refrigerator",""
"15803","19301","","0.50080074334935","-","19302","2015-06-08 17:14:01","96975","",""
"22616","13451","684042310","0.32367620647352","-","13451","2015-06-12 03:44:02","95920","refrigerator",""
"8932","26684","703428245","0.64677512960217","-","26684","2015-06-12 07:56:01","94665","refrigerator",""
"19431","10274","795630113","0.246483388263","-","10274","2015-06-13 02:51:01","95335","refrigerator",""
"9683","13181","","0.34537522357417","-","13181","2015-06-08 15:32:01","119725","",""
"6292","24044","699729077","0.58512232836911","-","24044","2015-06-12 07:12:01","94655","refrigerator",""
"22112","37655","","0.9044749180895","-","37655","2015-06-11 10:59:01","93835","refrigerator",""
"26911","69365","","1.6616625832333","-","69365","2015-06-09 20:36:01","215","",""
"154","154","1012834553","0.004949616765659","-","154","2015-06-15 13:50:01","121090","refrigerator",""
"6267","75632","","1.81633561966","-","75632","2015-06-09 22:35:01","95940","",""
"10852","1694","783221002","0.039664867459964","-","1695","2015-06-13 00:28:03","95140","refrigerator",""
"22229","64683","","1.5496892643271","-","64683","2015-06-09 19:01:01","94850","",""
"4971","22723","697838405","0.55361112773889","-","22723","2015-06-12 06:50:01","95260","refrigerator",""
"7012","51685","739158185","1.2422741415121","-","51685","2015-06-12 15:24:03","92965","refrigerator",""
"26911","42453","","1.0187264703745","-","42453","2015-06-10 12:31:01","210","",""
"12110","2953","785030077","0.069816118062989","-","2953","2015-06-13 00:49:02","95305","refrigerator",""
"26913","42456","","1.0176572536865","-","42456","2015-06-11 12:28:02","195","refrigerator",""
"3230","74812","772408351","1.7964435859289","-","74812","2015-06-12 22:21:01","97480","refrigerator",""
"23193","38736","","0.92935661858713","-","38736","2015-06-11 11:17:01","93035","refrigerator",""
"25113","40655","","0.97482395282981","-","40655","2015-06-10 11:49:01","95490","",""
"13343","16841","","0.44088200881764","-","16841","2015-06-08 16:33:01","98045","",""
"17014","32556","","0.78295279899239","-","32557","2015-06-11 09:34:02","94155","",""
"7168","76533","","1.838701086774","-","76533","2015-06-09 22:50:01","95220","",""
"25797","68253","649411611","1.6433342328667","-","68253","2015-06-11 20:37:02","95635","refrigerator",""
"24171","15014","802420689","0.35965965719319","-","15014","2015-06-13 04:10:02","96240","refrigerator",""
"10893","26435","","0.6382632460986","-","26435","2015-06-10 07:52:01","94095","",""
"2871","20623","694754789","0.50221752671102","-","20623","2015-06-12 06:15:01","97200","refrigerator",""
"14692","32444","711588171","0.78277389898881","-","32444","2015-06-12 09:32:01","93840","refrigerator",""
"470","72052","768342271","1.7286755845735","-","72052","2015-06-12 21:35:02","104145","refrigerator",""
"7312","25064","701155382","0.60889407884455","-","25064","2015-06-12 07:29:02","95115","refrigerator",""
"6115","48571","","1.1709563234191","-","48571","2015-06-11 15:09:01","95175","refrigerator",""
"25888","14523","","0.34839282363452","-","14523","2015-06-10 04:02:01","95210","",""
"12207","842","","0.020708350414167","-","842","2015-06-10 00:14:01","95745","",""
"4347","73712","","1.7698627353973","-","73712","2015-06-09 22:03:01","96510","",""
"7164","10662","","0.27822788889789","-","10662","2015-06-08 14:50:01","99020","",""
"8","3498","","0.09256916851805","-","3498","2015-06-08 12:32:00","175","",""
"1713","17255","","0.41876755837535","-","17255","2015-06-10 05:19:01","97870","",""
"3050","47723","733572447","1.1491785063169","-","47723","2015-06-12 14:18:01","94990","refrigerator",""
"14063","17561","","0.45882065917641","-","17561","2015-06-08 16:45:00","97805","",""
"26576","69032","650561472","1.66249858325","-","69032","2015-06-11 20:50:02","96760","refrigerator",""
"774","70142","652362068","1.6925085171835","-","70142","2015-06-11 21:40:01","101500","refrigerator",""
"10556","53012","","1.2789364255787","-","53012","2015-06-11 16:23:02","94885","refrigerator",""
"16432","34184","714028266","0.82344214980218","-","34184","2015-06-12 10:01:02","93460","refrigerator",""
"5394","74762","659250725","1.8073194694797","-","74762","2015-06-11 22:57:01","97340","refrigerator",""
"19852","10695","796205666","0.25607593845485","-","10695","2015-06-13 02:58:02","96110","refrigerator",""
"26907","15542","","0.37347022413607","-","15542","2015-06-10 04:22:01","185","",""
"6387","75752","","1.819535569724","-","75752","2015-06-09 22:37:01","95695","",""
"16496","58952","636055331","1.4207295617479","-","58952","2015-06-11 18:02:01","96055","refrigerator",""
"3892","21644","696209504","0.52646277719592","-","21644","2015-06-12 06:32:01","96065","refrigerator",""
"26911","42453","","1.0187836370423","-","42453","2015-06-10 12:50:01","215","",""
"22791","40544","839133088","0.97153298609733","-","40544","2015-06-13 11:47:02","94470","refrigerator",""
"25436","67892","648933027","1.6353578327072","-","67892","2015-06-11 20:31:01","95860","refrigerator",""
"5871","50544","737557411","1.2155945743119","-","50544","2015-06-12 15:05:01","94810","refrigerator",""
"11575","2410","668070881","0.057485717816381","-","2410","2015-06-12 00:40:01","95895","refrigerator",""
"26917","17752","690357493","0.42892925857858","-","17752","2015-06-12 05:18:02","190","refrigerator",""
"15514","31057","","0.746583598265","-","31057","2015-06-11 09:09:02","94975","",""
"13249","31002","825592538","0.74585714825048","-","31002","2015-06-13 09:08:01","94045","refrigerator",""
"18993","34535","","0.82970638326079","-","34535","2015-06-10 10:07:01","94075","",""
"3568","72933","","1.7521631350433","-","72933","2015-06-09 21:50:02","96370","",""
"5432","20974","","0.50904059351414","-","20974","2015-06-10 06:21:01","96170","",""
"3890","75472","773379691","1.8126325862527","-","75472","2015-06-12 22:32:02","96695","refrigerator",""
"26456","68912","650369092","1.6592922498525","-","68914","2015-06-11 20:48:04","96380","refrigerator",""
"17908","60362","","1.4470362289407","-","60362","2015-06-09 17:49:02","94495","",""
"1471","43924","","1.0573560544805","-","43924","2015-06-10 13:15:01","98225","",""
"2150","19903","809737323","0.48160355963207","-","19903","2015-06-13 06:03:02","97665","refrigerator",""
"21231","12074","798213563","0.28954088912415","-","12074","2015-06-13 03:21:02","95485","refrigerator",""
"16850","7693","791897896","0.18427977035226","-","7693","2015-06-13 02:08:01","95930","refrigerator",""
